original_index,is_outlier,begruendung,zielspalten_bewertet
10,False,"Die Werte sind für einen Internet-Tarif-Deal plausibel: 39$ für 100mb Cable Internet ist ein realistischer Preis, 630 Views und 2 Replies zeigen moderates Interesse, und -1 Vote deutet auf gemischte Resonanz hin, was bei Telecom-Angeboten nicht ungewöhnlich ist.","['replies', 'views', 'votes', 'price', 'saving']"
11,True,Die 25.080 Views sind extrem hoch für ein Klettergerüst im Wert von 199€ mit nur 25 Votes und 101 Replies. Das View-zu-Engagement-Verhältnis (Views sind ca. 250x höher als Votes und 248x höher als Replies) ist für diese Produktkategorie und Preisklasse außergewöhnlich unausgewogen und deutet auf eine Anomalie hin.,"['replies', 'views', 'votes', 'price', 'saving']"
12,False,"Ein 65-Zoll Samsung QLED-Fernseher (Q80T) für 1998$ mit 600$ Ersparnis ist ein realistischer Premium-TV-Deal. Die Engagement-Werte (7974 Views, 28 Replies, 4 Votes) passen gut zu einem attraktiven Angebot für ein höherwertiges Elektronikprodukt in dieser Preisklasse.","['replies', 'views', 'votes', 'price', 'saving']"
13,False,"Die Werte sind im Kontext plausibel: $15 für 5 Gesichtsmasken während der COVID-19-Pandemie (Juni 2020) ist ein attraktiver Deal, was die hohen Views (50584) und starkes Engagement (209 Replies, 32 Votes) erklärt. Alle numerischen Werte passen zur Relevanz und Aktualität des Produkts in dieser Zeit.","['replies', 'views', 'votes', 'price', 'saving']"
14,False,"Die Werte sind für einen AMD Ryzen 9 3900X (High-End-Prozessor) vollkommen plausibel: Der Preis von ~596 CAD entspricht dem typischen Marktwert, die Ersparnis von ~44 CAD ist realistisch, und das hohe Engagement (8168 Views, 46 Replies, 10 Votes) passt zur Beliebtheit dieses Premium-Produkts in der PC-Enthusiasten-Community.","['replies', 'views', 'votes', 'price', 'saving']"
15,False,"Die Werte sind für eine Smart Home Kamera im mittleren Preissegment (39,99 CAD) plausibel. 68 Antworten, 17.472 Views und 15 Votes zeigen ein normales Engagement für ein beliebtes Elektronikprodukt bei Amazon.ca, die geringe Ersparnis (0,20 CAD) passt zu einem regulären Deal ohne großen Rabatt.","['replies', 'views', 'votes', 'price', 'saving']"
16,False,"Die Werte sind für einen beliebten Coupon-Deal mit Stacking-Möglichkeit plausibel: 18.569 Views, 112 Replies und 36 Votes zeigen hohes Engagement für einen attraktiven Dell-Rabatt. Price und Saving sind 0, da es sich um einen Coupon-Code handelt, nicht um ein konkretes Produkt.","['replies', 'views', 'votes', 'price', 'saving']"
17,True,"Die Anzahl der Views (13.518) ist für einen einfachen Möbel-Deal mit einem Preis von 24,99€ extrem hoch und steht in keinem realistischen Verhältnis zu den Replies (31) und Votes (40). Solch hohe Aufrufzahlen wären eher bei viralen Deals oder hochpreisigen Produkten zu erwarten.","['replies', 'views', 'votes', 'price', 'saving']"
18,False,"Die Werte sind für einen Grocery-Deal mit Kettle Chips plausibel: Preis von 2,49 CAD ist realistisch für eine 220g Chipstüte, 2444 Views und 11 Replies zeigen normales Interesse an einem Lebensmittel-Deal, und 0 Votes (neutral) sowie 0 Ersparnis passen zu einem Add-on-Item ohne besondere Rabattaktion.","['replies', 'views', 'votes', 'price', 'saving']"
19,False,"Die Werte sind für ein Smart-Home-Produkt (Outdoor Smart Plug) im Kontext plausibel: Preis von 29,99 CAD ist marktüblich, 2710 Views und 25 positive Votes zeigen solides Interesse an einem nützlichen Elektronikprodukt, 5 Replies sind angemessen für einen Deal mit moderater Diskussion.","['replies', 'views', 'votes', 'price', 'saving']"
20,True,"Die Anzahl der Views (402.942) ist extrem hoch für einen Hypotheken-Deal, selbst bei attraktiven Zinssätzen. Während 1.611 Antworten und 130 Votes für ein Finanzprodukt noch plausibel erscheinen, ist die View-Zahl unverhältnismäßig hoch im Vergleich zum Engagement und deutet auf eine Anomalie hin.","['replies', 'views', 'votes', 'price', 'saving']"
21,False,"Die Werte sind für einen typischen Office-Supplies-Deal plausibel: Ein Notizbuch für 0,10$ ist ein attraktiver Preis, der moderate Engagement (709 Views, 12 Votes, 4 Replies) rechtfertigt. Die Ersparnis von 0,0$ deutet auf einen regulären Niedrigpreis hin, was bei Büromaterial-Aktionen üblich ist.","['replies', 'views', 'votes', 'price', 'saving']"
22,False,"Die Werte sind im Kontext plausibel: Ein Sammelkartenset im Clearance für ~8$ ist ein realistischer Preis, die moderate Engagement-Rate (7 Antworten, 3549 Views, 1 Vote) passt zu einem Nischenprodukt für Basketball-/Sammelkarten-Fans. Keine auffälligen Diskrepanzen erkennbar.","['replies', 'views', 'votes', 'price', 'saving']"
23,True,"Die Views (26.067) sind extrem hoch für einen Deal mit nur 70 Replies und 23 Votes, was ein ungewöhnliches Engagement-Verhältnis darstellt. Obwohl es sich um einen 'Shutting Down Sale' handelt, der Aufmerksamkeit erregen könnte, ist die Diskrepanz zwischen der enormen Anzahl an Aufrufen und der vergleichsweise geringen Interaktion (Replies/Votes) auffällig ungewöhnlich.","['replies', 'views', 'votes', 'price', 'saving']"
24,False,"Die Werte sind für Bodum Kaffeetassen im mittleren Preissegment plausibel: 30$ für ein 2er-Set doppelwandiger Tassen ist marktüblich, 33$ Ersparnis ist realistisch, und die moderate Engagement-Rate (2776 Views, 8 Replies, 1 Vote) passt zu einem soliden, aber nicht spektakulären Deal in der Kategorie Home & Garden.","['replies', 'views', 'votes', 'price', 'saving']"
25,True,"Die Anzahl der Views (12540) ist extrem hoch im Verhältnis zu den Replies (45) und Votes (29), was ein ungewöhnliches Engagement-Muster darstellt. Für einen Bücher-Deal mit kostenlosem Versand und 16% Rabatt wäre bei über 12.000 Aufrufen deutlich mehr Interaktion (Votes/Replies) zu erwarten.","['replies', 'views', 'votes', 'price', 'saving']"
26,True,"Die Anzahl der Views (95.676) ist extrem hoch im Verhältnis zu den Votes (116) und Replies (725), was ein ungewöhnliches Engagement-Muster darstellt. Normalerweise würde ein Deal mit fast 100.000 Aufrufen deutlich mehr Votes generieren, selbst bei Kreditkarten-Angeboten.","['replies', 'views', 'votes', 'price', 'saving']"
27,True,"Der 'price'-Wert von 0.0 ist unrealistisch, da der Titel mehrere konkrete Preise für Olympic Weight Plates nennt (von $4.05 bis $66.97). Die 'saving'-Spalte mit 0.0 ist ebenfalls ungewöhnlich, da bei solchen Fitness-Equipment-Deals normalerweise Ersparnisse angegeben werden.","['replies', 'views', 'votes', 'price', 'saving']"
28,False,"Die Werte sind im Kontext plausibel: Ein Tankless Water Heater für 289$ (reduziert von 964$) ist ein attraktiver Deal, der hohe Views (16725) und moderate Engagement-Werte (48 Replies, 5 Votes) rechtfertigt. Preis und Ersparnis passen zur Produktkategorie Haushaltsgeräte.","['replies', 'views', 'votes', 'price', 'saving']"
29,True,Die Kombination aus extrem hohen Views (26.102) bei nur 70 Replies und 23 Votes ist für einen Beauty-Deal ungewöhnlich – das View-to-Engagement-Verhältnis ist stark verzerrt. Zudem ist ein Preis von 0€ bei 50€ Ersparnis technisch inkonsistent und deutet auf fehlerhafte Datenerfassung hin.,"['replies', 'views', 'votes', 'price', 'saving']"
30,False,"Die Werte sind für Bodum Kaffeetassen im Kontext plausibel: Preis von 30$ für ein 2er-Set doppelwandiger Markentassen ist realistisch, die Ersparnis von 33$ erscheint angemessen. Die Engagement-Werte (2810 Views, 8 Replies, 1 Vote) passen zu einem soliden, aber nicht außergewöhnlichen Deal im Home & Garden Bereich.","['replies', 'views', 'votes', 'price', 'saving']"
31,False,"Die Werte sind im Kontext eines Buch-Deals mit kostenlosem Versand plausibel. Hohe Views (12549) und moderate Engagement-Werte (45 Replies, 29 Votes) passen zu einem attraktiven Angebot mit breiter Zielgruppe, während Preis 0€ und 16% Ersparnis den Rabatt-Charakter widerspiegeln.","['replies', 'views', 'votes', 'price', 'saving']"
32,True,"Die Anzahl der Views (16.764) ist extrem hoch im Verhältnis zu den Replies (48) und Votes (5), was ein ungewöhnliches Engagement-Muster darstellt. Typischerweise würde ein Deal mit über 16.000 Aufrufen deutlich mehr Interaktion (Votes/Replies) generieren, besonders bei einem attraktiven Preis von $289 statt $964.","['replies', 'views', 'votes', 'price', 'saving']"
33,False,"Die Werte sind im Kontext plausibel: Ein Philips Hue Bridge 2.0 für 19.99$ (statt ~92$) ist ein attraktiver Clearance-Deal, was die hohen Views (4105) und moderate Engagement-Werte (11 Replies, 7 Votes) rechtfertigt. Preis und Ersparnis sind für dieses Smart-Home-Produkt realistisch.","['replies', 'views', 'votes', 'price', 'saving']"
34,True,"Die Kombination aus extrem hohen Views (13708) und vielen Replies (67) bei nur 1 Vote ist sehr ungewöhnlich. Bei einem attraktiven Internet-Deal mit so hohem Engagement würde man deutlich mehr Votes erwarten, was auf eine Anomalie in der Engagement-Verteilung hindeutet.","['replies', 'views', 'votes', 'price', 'saving']"
35,False,"Ein 'Shoppers bonus event' ist ein wiederkehrendes Angebot mit hoher Community-Relevanz, das typischerweise starkes Engagement erzeugt. Die hohen Views (29334), viele Replies (113) und positive Votes (67) sind für solche populären Bonus-Events im Groceries-Bereich erwartbar und konsistent.","['replies', 'views', 'votes', 'price', 'saving']"
36,False,"Die Werte sind für ein Waschmittel-Angebot plausibel: Der Preis von 5,97$ für 100 Waschladungen ist ein attraktiver Deal, was die hohen Engagement-Werte (9909 Views, 33 Replies, 61 Votes) gut erklärt. Alle numerischen Werte stehen im erwartbaren Verhältnis zueinander und zum Produktkontext.","['replies', 'views', 'votes', 'price', 'saving']"
37,True,"Die Anzahl der Views (17182) ist extrem hoch im Verhältnis zu den Replies (81) und Votes (16), was ein ungewöhnliches Engagement-Muster darstellt. Für einen Ryobi Impact Driver Deal bei diesem Preis wären bei über 17.000 Aufrufen deutlich mehr Votes und Interaktionen zu erwarten.","['replies', 'views', 'votes', 'price', 'saving']"
38,False,"Die Werte sind für eine 12-Zoll-Gusseisenpfanne von MasterChef plausibel: Der Preis von 21,99 CAD liegt im typischen Bereich für solche Küchenartikel, und die moderate Engagement-Rate (1762 Views, 6 Replies, 0 Votes) passt zu einem durchschnittlichen Home & Garden Deal ohne besondere Ersparnis.","['replies', 'views', 'votes', 'price', 'saving']"
39,False,"Die Werte sind für ein Lenovo 10.1"" Tablet mit 32GB im Kontext plausibel: Preis von ~170$ ist marktüblich, die Ersparnis von 0.48$ ist minimal aber realistisch, und die Engagement-Werte (4897 Views, 16 Replies, 19 Votes) passen zu einem soliden Elektronik-Deal mittlerer Attraktivität.","['replies', 'views', 'votes', 'price', 'saving']"
40,False,"Die Werte sind im Kontext plausibel: Eine steuerfreie Woche bei Real Canadian Superstore ist ein attraktives Angebot für viele Kunden, was die hohen Views (3384) erklärt. Die moderaten Engagement-Werte (9 Replies, 5 Votes) passen zu einem informativen Post ohne konkreten Produktpreis, und price/saving bei 0.0 sind korrekt für eine allgemeine Ankündigung ohne spezifisches Produkt.","['replies', 'views', 'votes', 'price', 'saving']"
41,False,"Die Werte sind für eine 500GB SSD im Kontext plausibel: Der Preis von ~62€ entspricht dem typischen Marktniveau für dieses Produkt (WD Blue 500GB). Die Engagement-Werte (2413 Views, 9 Replies, 2 Votes) sind angemessen für einen soliden, aber nicht spektakulären Deal im Elektronikbereich.","['replies', 'views', 'votes', 'price', 'saving']"
42,False,"Die Werte sind für einen Sonnenschutz-Deal im Beauty-Bereich plausibel: Preis von 10,56 CAD für ein Duo-Pack ist realistisch, moderate Engagement-Werte (1426 Views, 11 Votes, 2 Replies) passen zu einem zeitlich begrenzten Lightning Deal für ein Alltagsprodukt. Keine auffälligen Abweichungen erkennbar.","['replies', 'views', 'votes', 'price', 'saving']"
43,False,"Die Werte sind für einen günstigen Laptop-Rucksack (9.99$) konsistent und plausibel. Das Engagement (899 Views, 8 Votes, 1 Reply) passt zu einem soliden Budget-Deal in der Kategorie Peripherals & Accessories, ohne extreme Abweichungen.","['replies', 'views', 'votes', 'price', 'saving']"
44,False,"Die Werte sind im Kontext plausibel: Ein kostenloses Jahrespass-Angebot für Frontline-Worker (AGO Museum) ist attraktiv und gemeinnützig, was die hohen Views (6345) und positives Engagement (37 Votes, 30 Replies) erklärt. Preis und Saving sind korrekt mit 0.0 erfasst, da es sich um ein Gratisangebot handelt.","['replies', 'views', 'votes', 'price', 'saving']"
45,False,"Die Werte sind für einen elektrischen Messerschärfer im mittleren Preissegment (19,97$) plausibel: moderate Engagement-Werte (11 Antworten, 2577 Views, 6 Votes) passen zu einem nützlichen Haushaltsgerät mit solidem Preis-Leistungs-Verhältnis. Alle numerischen Werte liegen im erwartbaren Bereich für diese Produktkategorie.","['replies', 'views', 'votes', 'price', 'saving']"
46,False,"Die Werte sind für einen Nintendo eShop Geschenkkarten-Deal plausibel: Ein Preis von 94$ für eine 99$-Karte entspricht etwa 5% Rabatt, was realistisch ist. Die Engagement-Werte (929 Views, 3 Replies, 4 Votes) sind für einen soliden, aber nicht spektakulären Deal im Gaming-Bereich angemessen.","['replies', 'views', 'votes', 'price', 'saving']"
47,False,"Die Werte sind für ein AAA-Videospiel (Star Wars Jedi Fallen Order) plausibel: Preis von 39,99€ mit 50€ Ersparnis entspricht einem typischen Sale-Angebot, und die moderate Engagement-Rate (453 Views, 1 Reply, 1 Vote) passt zu einem durchschnittlichen Deal-Post für ein bekanntes Spiel.","['replies', 'views', 'votes', 'price', 'saving']"
48,False,"Die Werte sind für ein aufblasbares Kayak im mittleren Preissegment plausibel: 600€ Preis mit 400€ Ersparnis ist für Sportausrüstung realistisch, 7540 Views und 28 Antworten zeigen normales Interesse an einem attraktiven Deal, und 6 positive Votes passen zur Engagement-Rate.","['replies', 'views', 'votes', 'price', 'saving']"
49,False,"Die Werte sind im Kontext plausibel: Ein Chromebook 2-in-1 für 399 CAD ist ein realistischer Preis, und die hohen Views (20827) sowie die moderate Engagement-Rate (112 Replies, 19 Votes) passen zu einem attraktiven Preorder-Deal für ein beliebtes Gerät bei Best Buy.","['replies', 'views', 'votes', 'price', 'saving']"
50,False,"Die Werte sind für eine Bosch 18V 6.3Ah Profi-Akkubatterie im Kontext plausibel: Der Preis von ~90$ liegt im realistischen Bereich für hochwertige Werkzeugakkus dieser Kapazität. Die Engagement-Werte (1205 Views, 5 Replies, 4 Votes) sind angemessen für ein Spezialwerkzeug-Angebot in einem Nischensegment.","['replies', 'views', 'votes', 'price', 'saving']"
51,False,"Die Werte sind für ein Lippenpflege-4er-Pack im Beauty-Bereich plausibel: Preis von 9,96 CAD ist realistisch, die geringe Ersparnis (0,25 CAD) passt zu einem kleinen Deal, und die moderate Engagement-Rate (1369 Views, 4 Replies, 7 Votes) entspricht einem typischen Beauty-Produkt mit begrenzter Deal-Attraktivität.","['replies', 'views', 'votes', 'price', 'saving']"
52,False,"Die Werte sind für eine 500GB NVMe SSD im mittleren Preissegment (ca. 95€) plausibel. Die moderate Engagement-Rate (1153 Views, 2 Replies, 1 Vote) passt zu einem soliden, aber nicht außergewöhnlichen Tech-Deal ohne besondere Ersparnis.","['replies', 'views', 'votes', 'price', 'saving']"
53,False,"Die Werte sind für eine kostenlose App-Aktion plausibel: 2036 Views, 22 Votes und 9 Replies zeigen moderates Interesse an einem Gratis-Angebot (Ersparnis 6,99€). Die Engagement-Zahlen passen zum Entertainment-Bereich und einer Sprachlern-App, die temporär kostenlos ist.","['replies', 'views', 'votes', 'price', 'saving']"
54,True,Die Views (56.067) sind für ein Smartphone-Angebot im mittleren Preissegment (499$) extrem hoch und liegen weit über dem typischen Engagement für solche Deals. Auch die Kombination aus sehr hohen Views bei vergleichsweise moderaten Replies (259) und Votes (73) deutet auf eine ungewöhnliche Aufmerksamkeitsdynamik hin.,"['replies', 'views', 'votes', 'price', 'saving']"
55,False,"Die Werte sind für eine Apple Back-to-School Promotion mit kostenlosen AirPods sehr plausibel: Hohe Views (211.716) und viele Replies (1.090) sowie positive Votes (136) passen zu einem attraktiven, zeitlich begrenzten Deal einer Premium-Marke. Price und Saving sind 0, was bei Promotions ohne spezifischen Einzelpreis nachvollziehbar ist.","['replies', 'views', 'votes', 'price', 'saving']"
56,False,"Die Werte sind für ein Werkzeug-Set (104-teiliges Bohrer-Set für ~24€) plausibel und konsistent. Der moderate Preis, die hohen Views (6752), gute Engagement-Werte (38 Antworten, 11 Votes) und die geringe Ersparnis (0.65) passen zu einem attraktiven Deal für Heimwerker-Werkzeug bei einem bekannten Händler.","['replies', 'views', 'votes', 'price', 'saving']"
57,True,"Die Anzahl der Views (21.234) ist extrem hoch im Verhältnis zu den Votes (8) und Replies (133) für ein Spezialwerkzeug. Typischerweise würde ein Deal mit über 21.000 Aufrufen deutlich mehr Engagement (Votes) generieren, was auf eine ungewöhnliche Diskrepanz hindeutet.","['replies', 'views', 'votes', 'price', 'saving']"
58,False,"Die Werte sind für einen 6-Gallonen-Luftkompressor der Marke Metabo HPT plausibel: Preis von ~200€ und 90€ Ersparnis liegen im typischen Bereich für solche Werkzeuge. Die Engagement-Werte (1508 Views, 5 Replies, 4 Votes) sind angemessen für ein Heimwerker-Produkt mit solidem Deal-Charakter.","['replies', 'views', 'votes', 'price', 'saving']"
59,False,"Die Werte sind für einen 6-Gallonen-Luftkompressor der Marke Metabo HPT plausibel: Preis von ~200€ und 90€ Ersparnis liegen im typischen Bereich für solche Werkzeuge. Die Engagement-Werte (1513 Views, 5 Replies, 4 Votes) sind angemessen für ein Heimwerker-Produkt mit solidem Deal.","['replies', 'views', 'votes', 'price', 'saving']"
60,False,"Die Werte sind für einen Süßigkeiten-Deal (60 AirHeads Bars für 7.46$) plausibel: moderater Preis, geringe Interaktion (1 Reply, 1 Vote) und 998 Views passen zu einem Nischen-Lebensmittelangebot ohne besondere Ersparnis. Keine auffälligen Abweichungen erkennbar.","['replies', 'views', 'votes', 'price', 'saving']"
61,False,"Die Werte sind für einen Süßigkeiten-Deal plausibel: Preis von 7,46 CAD für 60 AirHeads-Riegel ist realistisch, keine Ersparnis angegeben (0,0), moderate Views (689), keine Antworten und leicht negative Votes (-5) deuten auf einen wenig attraktiven Deal hin, was bei Lebensmitteln ohne besondere Ersparnis nachvollziehbar ist.","['replies', 'views', 'votes', 'price', 'saving']"
62,False,"Die Werte sind für ein High-End-Motherboard-Bundle mit Intel i7-10700 Prozessor plausibel: Preis von 830€ und Ersparnis von 70€ entsprechen dem Marktwert solcher Gaming-Komponenten. Die Engagement-Werte (2455 Views, 12 Replies) sind für Computer-Hardware-Deals typisch, negative Votes (-9) deuten auf einen als weniger attraktiv bewerteten Deal hin, was bei diesem Preissegment nachvollziehbar ist.","['replies', 'views', 'votes', 'price', 'saving']"
63,False,"Die Werte sind für ein Premium-Tastatur-Maus-Combo von Logitech plausibel: Preis von 149,99$ mit 32$ Ersparnis ist marktüblich für hochwertige Peripheriegeräte. Die hohen Views (6944) bei moderaten Replies (24) und Votes (2) passen zu einem attraktiven Deal für beliebte Markenprodukte in der Kategorie Computer & Elektronik.","['replies', 'views', 'votes', 'price', 'saving']"
64,False,"Die Werte sind im Kontext plausibel: Bowflex SelectTech 552 Hanteln kosten regulär um die 600 CAD, was dem angegebenen Preis entspricht. Die hohen Views (5734) und moderate Anzahl an Replies (30) passen zu einem beliebten Fitnessprodukt, während die negativen Votes (-11) darauf hindeuten, dass kein besonderer Deal vorliegt (saving: 0.0), was die Community entsprechend bewertet hat.","['replies', 'views', 'votes', 'price', 'saving']"
65,True,Die 13.157 Views sind für einen Magic Bullet Deal im Wert von 28$ extrem hoch und stehen in keinem realistischen Verhältnis zu den 47 Replies und 34 Votes. Selbst bei beliebten Küchengeräten wäre diese View-Zahl für ein solches Produkt und diese Engagement-Werte außergewöhnlich überhöht.,"['replies', 'views', 'votes', 'price', 'saving']"
66,False,"Die Werte sind für eine 12TB externe Festplatte plausibel: Der Preis von ~176 USD liegt im realistischen Bereich für diese Speicherkapazität, und die Engagement-Werte (5779 Views, 27 Replies, 6 Votes) passen zu einem soliden Tech-Deal mit moderatem Interesse in der Community.","['replies', 'views', 'votes', 'price', 'saving']"
67,False,"Die Werte sind im Kontext eines attraktiven Banking-Angebots (300$ Bonus + Gebührenerstattung) plausibel. Hohe Views (138.745) und viele Replies (450) bei moderaten Votes (58) passen zu einem langfristigen, beliebten Finanzangebot mit langer Laufzeit (Feb-Sep 2020), das viel Diskussion generiert.","['replies', 'views', 'votes', 'price', 'saving']"
68,False,"Die Werte sind für einen Lenovo X1 Carbon (Premium-Business-Laptop) mit guter Ausstattung (i5, 16GB RAM, 512GB SSD) plausibel. Der Preis von ~1500 CAD ist marktüblich, die hohen Views (5688) und Replies (31) passen zur Beliebtheit dieser Laptop-Serie, und die minimale Ersparnis (0.5) sowie leicht negative Votes (-1) sind im Deal-Forum-Kontext unauffällig.","['replies', 'views', 'votes', 'price', 'saving']"
69,False,"Die Werte sind für einen Star Wars Mandalorian Baby Yoda Plüsch im Kontext plausibel: Der Preis von ~30 CAD ist marktüblich für lizenzierte Plüschartikel dieser Größe, die hohen Views (10125) und Replies (51) spiegeln die enorme Popularität des 'Child/Baby Yoda' Charakters wider, und die minimale Ersparnis (0.33) deutet auf einen regulären Preis ohne großen Rabatt hin.","['replies', 'views', 'votes', 'price', 'saving']"
70,False,"Die Werte sind für eine ergonomische kabellose Maus im Preissegment um 29 CAD plausibel. Die Engagement-Werte (6506 Views, 20 Replies, 11 Votes) sind für ein Peripherie-Produkt auf einem Deal-Forum angemessen und zeigen normales Interesse an einem Standardprodukt.","['replies', 'views', 'votes', 'price', 'saving']"
71,True,"Die Anzahl der Views (17877) ist extrem hoch im Verhältnis zu den Replies (75) und Votes (19) für ein Smart Lock Produkt im mittleren Preissegment. Typischerweise würde ein Deal mit fast 18.000 Aufrufen deutlich mehr Engagement (Votes und Replies) generieren, was auf eine ungewöhnliche Diskrepanz hindeutet.","['replies', 'views', 'votes', 'price', 'saving']"
72,False,"Die hohen Engagement-Werte (30.163 Views, 149 Replies, 34 Votes) sind für ein zeitlich begrenztes Rabatt-Event (20% auf RYOBI Werkzeuge) sehr plausibel, da solche Aktionen großes Interesse wecken. Preis und Saving sind 0, was bei Event-Ankündigungen ohne spezifische Produktpreise erwartbar ist.","['replies', 'views', 'votes', 'price', 'saving']"
73,False,"Die Werte sind für einen Deal über Kreditkarten-Willkommensboni plausibel: Hohe Views (23616) und viele Replies (92) passen zu einem beliebten Finanzthema mit mehreren Banken. Price und Saving sind 0, da es sich um Kreditkartenangebote handelt, nicht um physische Produkte. Die 22 Votes sind angemessen für diesen Engagement-Level.","['replies', 'views', 'votes', 'price', 'saving']"
74,False,"Die Werte sind für eine Dual-Dashcam im Preisbereich von ~100€ mit 90€ Ersparnis plausibel und attraktiv. Die hohen Views (6850) und moderate Engagement-Zahlen (31 Replies, 7 Votes) passen zu einem beliebten Auto-Zubehör-Deal mit gutem Preis-Leistungs-Verhältnis.","['replies', 'views', 'votes', 'price', 'saving']"
75,False,"Die Werte sind im Kontext eines attraktiven Kreditkarten-Rewards-Deals plausibel: 30% Rabatt auf Geschenkkarten ist ein starker Deal, der hohe Engagement-Werte (26.168 Views, 86 Replies, 69 Votes) rechtfertigt. Price=0 und saving=0.3 passen zur Darstellung eines prozentualen Rabatts ohne konkreten Produktpreis.","['replies', 'views', 'votes', 'price', 'saving']"
76,True,Die 50.410 Views sind für ein einfaches Masken-Angebot (3er-Pack für $12.99) extrem hoch und stehen in keinem realistischen Verhältnis zu den 105 Replies und 33 Votes. Selbst unter Berücksichtigung der COVID-19-Pandemie im Juni 2020 ist diese View-Zahl für ein Standard-Maskenprodukt bei Costco unverhältnismäßig und deutet auf einen Ausreißer hin.,"['replies', 'views', 'votes', 'price', 'saving']"
77,True,"Die Anzahl der Views (34.201) ist extrem hoch im Verhältnis zu den Replies (120) und Votes (21) für ein Videospiel-Angebot. Während Ring Fit Adventure ein beliebtes Produkt ist, deutet das extreme Missverhältnis zwischen Views und Engagement (Faktor ~285 Views pro Vote) auf eine ungewöhnliche Anomalie hin.","['replies', 'views', 'votes', 'price', 'saving']"
